Community_Area_Number,Total_Households,SNAP_Households,PCT_SNAP_Households,Community_Area,Store_Count,Convenience_Store,Combination_Grocery_Other,Large_Grocery_Store,Medium_Grocery_Store,Small_Grocery_Store,Supermarket,Super_Store,Meat_Poultry_Specialty,Delivery_Route,Military_Commissary,Farmers_Market,Bakery_Specialty,Unknown,Fruits_Veg_Specialty,Food_Buying_Coop,Seafood_Specialty,Wholesaler,Area_Sq_Mi,Average_Time_Open_Yrs,Average_Time_Open_Days
1,25978,4234,16.33333333,ROGERS PARK,42,20,7,0,5,2,1,4,1,0,0,1,1,0,0,0,0,0,1.838695995,8.522374429,3110.666667
2,26301,5051,18.07142857,WEST RIDGE,80,11,14,4,29,7,3,7,1,0,0,0,2,0,0,1,1,0,3.530657959,9.178116438,3350.0125
3,32643,4834,13.5,UPTOWN,35,10,5,1,5,3,4,4,0,0,0,3,0,0,0,0,0,0,2.334984889,12.28109589,4482.6
4,19670,1321,5.818181818,LINCOLN SQUARE,20,9,5,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,2.5594126,11.20465753,4089.7
5,14666,587,3.571428571,NORTH CENTER,17,6,3,0,0,0,4,1,1,0,0,2,0,0,0,0,0,0,2.046536668,15.06494762,5498.705882
6,56766,2737,4.5,LAKE VIEW,38,17,10,0,1,0,3,5,0,0,0,1,1,0,0,0,0,0,3.128400455,13.55962509,4949.263158
7,33145,1171,3.25,LINCOLN PARK,27,10,5,0,0,0,7,3,1,0,0,1,0,0,0,0,0,0,3.167914961,13.6145104,4969.296296
8,66227,2967,4.9,NEAR NORTH SIDE,52,18,17,1,0,1,6,8,1,0,0,0,0,0,0,0,0,0,2.750369317,12.53282403,4574.480769
9,4598,96,1,,,,,,,,,,,,,,,,,,,,,,
10,17106,1087,5.875,NORWOOD PARK,11,4,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.374680952,18.23711083,6656.545455
11,10991,946,8.666666667,JEFFERSON PARK,15,7,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2.326825129,9.259726027,3379.8
12,7050,352,4.75,FOREST GLEN,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.197130883,7.787671233,2842.5
13,6924,1148,15,NORTH PARK,10,4,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2.521260417,10.53452055,3845.1
14,17294,2447,13.81818182,ALBANY PARK,41,12,8,1,10,4,2,3,1,0,0,0,0,0,0,0,0,0,1.920563261,11.48747077,4192.926829
15,23447,2808,12.28571429,PORTAGE PARK,40,16,9,2,4,2,3,4,0,0,0,0,0,0,0,0,0,0,3.952741087,9.963013699,3636.5
16,22006,2708,11.2,IRVING PARK,30,17,5,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,3.214366043,11.67342466,4260.8
17,16195,1311,7.636363636,DUNNING,14,7,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,3.71595935,9.370841487,3420.357143
18,4865,720,14,MONTCLARE,7,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.989167012,10.07279843,3676.571429
19,22902,5230,23.23529412,BELMONT CRAGIN,57,20,12,3,4,3,6,8,1,0,0,0,0,0,0,0,0,0,3.913403017,12.30305215,4490.614035
20,7560,1326,16.33333333,HERMOSA,20,13,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1.169437966,8.277534247,3021.3
21,14763,1650,11.3,AVONDALE,27,9,6,2,1,2,4,2,0,0,0,1,0,0,0,0,0,0,1.983277213,12.71435819,4640.740741
22,33117,2798,8.222222222,LOGAN SQUARE,51,19,14,1,3,2,2,9,0,0,0,0,1,0,0,0,0,0,3.589071348,13.72430835,5009.372549
23,19153,6355,29.73333333,HUMBOLDT PARK,46,22,6,0,2,9,2,3,0,0,0,0,1,0,1,0,0,0,3.604255498,9.385110185,3425.565217
24,41660,3104,7.580645161,WEST TOWN,53,20,11,1,6,3,3,3,2,1,0,2,1,0,0,0,0,0,4.575689587,15.02558801,5484.339623
25,35827,14102,37.58333333,AUSTIN,96,54,14,2,6,14,3,2,1,0,0,0,0,0,0,0,0,0,7.147261083,8.511586758,3106.729167
26,5785,2911,51.1,WEST GARFIELD PARK,24,17,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,1.294652807,3.134931507,1144.25
27,7737,3651,46.66666667,EAST GARFIELD PARK,20,13,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1.932794595,4.098630137,1496
28,34396,4689,19.9,NEAR WEST SIDE,42,17,11,0,1,0,2,8,2,0,0,1,0,0,0,0,0,0,5.685134962,11.37632094,4152.357143
29,11365,5177,43.38461538,NORTH LAWNDALE,33,21,2,0,2,5,1,0,0,0,0,1,0,0,0,0,1,0,3.20991958,6.544375259,2388.69697
30,20716,4521,22.11111111,SOUTH LAWNDALE,63,18,10,1,13,15,2,3,1,0,0,0,0,0,0,0,0,0,4.591307171,10.93581213,3991.571429
31,14441,2562,15.27272727,LOWER WEST SIDE,30,12,4,0,4,3,2,4,1,0,0,0,0,0,0,0,0,0,2.925229698,12.85652968,4692.633333
32,15665,671,3.5,LOOP,38,19,13,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,1.662059711,10.50230714,3833.342105
33,2459,494,19.5,NEAR SOUTH SIDE,9,4,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1.785240166,8.196042618,2991.555556
34,5833,1815,33.2,ARMOUR SQUARE,19,1,8,3,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0.995975239,8.158471521,2977.842105
35,10517,3154,34.4,DOUGLAS,9,3,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1.650188718,10.43439878,3808.555556
36,3423,1597,48.33333333,OAKLAND,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.60670487,4.426027397,1615.5
37,1008,708,71,FULLER PARK,7,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.714413484,8.313502935,3034.428571
38,9262,3168,-60606029.73,GRAND BOULEVARD,20,12,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1.739429205,10.22493151,3732.1
